日期,1点,2点,3点,4点,5点,6点,7点,8点,9点,10点,11点,12点,13点,14点,15点,16点,17点,18点,19点,20点,21点,22点,23点,24点
20200101,364.8,364.8,364.8,364.8,364.8,364.8,364.8,864.5,864.5,864.5,1390.2,1390.2,1390.2,1390.2,1390.2,864.5,864.5,864.5,1390.2,1390.2,1390.2,864.5,864.5,364.8
20200102,364.8,364.8,364.8,364.8,364.8,364.8,364.8,864.5,864.5,864.5,1390.2,1390.2,1390.2,1390.2,1390.2,864.5,864.5,864.5,1390.2,1390.2,1390.2,864.5,864.5,364.8
20200103,364.8,364.8,364.8,364.8,364.8,364.8,364.8,864.5,864.5,864.5,1390.2,1390.2,1390.2,1390.2,1390.2,864.5,864.5,864.5,1390.2,1390.2,1390.2,864.5,864.5,364.8
20200104,364.8,364.8,364.8,364.8,364.8,364.8,364.8,864.5,864.5,864.5,1390.2,1390.2,1390.2,1390.2,1390.2,864.5,864.5,864.5,1390.2,1390.2,1390.2,864.5,864.5,364.8
20200105,364.8,364.8,364.8,364.8,364.8,364.8,364.8,864.5,864.5,864.5,1390.2,1390.2,1390.2,1390.2,1390.2,864.5,864.5,864.5,1390.2,1390.2,1390.2,864.5,864.5,364.8
20200106,364.8,364.8,364.8,364.8,364.8,364.8,364.8,864.5,864.5,864.5,1390.2,1390.2,1390.2,1390.2,1390.2,864.5,864.5,864.5,1390.2,1390.2,1390.2,864.5,864.5,364.8
20200107,364.8,364.8,364.8,364.8,364.8,364.8,364.8,864.5,864.5,864.5,1390.2,1390.2,1390.2,1390.2,1390.2,864.5,864.5,864.5,1390.2,1390.2,1390.2,864.5,864.5,364.8
20200108,364.8,364.8,364.8,364.8,364.8,364.8,364.8,864.5,864.5,864.5,1390.2,1390.2,1390.2,1390.2,1390.2,864.5,864.5,864.5,1390.2,1390.2,1390.2,864.5,864.5,364.8
20200109,364.8,364.8,364.8,364.8,364.8,364.8,364.8,864.5,864.5,864.5,1390.2,1390.2,1390.2,1390.2,1390.2,864.5,864.5,864.5,1390.2,1390.2,1390.2,864.5,864.5,364.8
20200110,364.8,364.8,364.8,364.8,364.8,364.8,364.8,864.5,864.5,864.5,1390.2,1390.2,1390.2,1390.2,1390.2,864.5,864.5,864.5,1390.2,1390.2,1390.2,864.5,864.5,364.8
20200111,364.8,364.8,364.8,364.8,364.8,364.8,364.8,864.5,864.5,864.5,1390.2,1390.2,1390.2,1390.2,1390.2,864.5,864.5,864.5,1390.2,1390.2,1390.2,864.5,864.5,364.8
20200112,364.8,364.8,364.8,364.8,364.8,364.8,364.8,864.5,864.5,864.5,1390.2,1390.2,1390.2,1390.2,1390.2,864.5,864.5,864.5,1390.2,1390.2,1390.2,864.5,864.5,364.8
20200113,364.8,364.8,364.8,364.8,364.8,364.8,364.8,864.5,864.5,864.5,1390.2,1390.2,1390.2,1390.2,1390.2,864.5,864.5,864.5,1390.2,1390.2,1390.2,864.5,864.5,364.8
20200114,364.8,364.8,364.8,364.8,364.8,364.8,364.8,864.5,864.5,864.5,1390.2,1390.2,1390.2,1390.2,1390.2,864.5,864.5,864.5,1390.2,1390.2,1390.2,864.5,864.5,364.8
20200115,364.8,364.8,364.8,364.8,364.8,364.8,364.8,864.5,864.5,864.5,1390.2,1390.2,1390.2,1390.2,1390.2,864.5,864.5,864.5,1390.2,1390.2,1390.2,864.5,864.5,364.8
20200116,364.8,364.8,364.8,364.8,364.8,364.8,364.8,864.5,864.5,864.5,1390.2,1390.2,1390.2,1390.2,1390.2,864.5,864.5,864.5,1390.2,1390.2,1390.2,864.5,864.5,364.8
20200117,364.8,364.8,364.8,364.8,364.8,364.8,364.8,864.5,864.5,864.5,1390.2,1390.2,1390.2,1390.2,1390.2,864.5,864.5,864.5,1390.2,1390.2,1390.2,864.5,864.5,364.8
20200118,364.8,364.8,364.8,364.8,364.8,364.8,364.8,864.5,864.5,864.5,1390.2,1390.2,1390.2,1390.2,1390.2,864.5,864.5,864.5,1390.2,1390.2,1390.2,864.5,864.5,364.8
20200119,364.8,364.8,364.8,364.8,364.8,364.8,364.8,864.5,864.5,864.5,1390.2,1390.2,1390.2,1390.2,1390.2,864.5,864.5,864.5,1390.2,1390.2,1390.2,864.5,864.5,364.8
20200120,364.8,364.8,364.8,364.8,364.8,364.8,364.8,864.5,864.5,864.5,1390.2,1390.2,1390.2,1390.2,1390.2,864.5,864.5,864.5,1390.2,1390.2,1390.2,864.5,864.5,364.8
20200121,364.8,364.8,364.8,364.8,364.8,364.8,364.8,864.5,864.5,864.5,1390.2,1390.2,1390.2,1390.2,1390.2,864.5,864.5,864.5,1390.2,1390.2,1390.2,864.5,864.5,364.8
20200122,364.8,364.8,364.8,364.8,364.8,364.8,364.8,864.5,864.5,864.5,1390.2,1390.2,1390.2,1390.2,1390.2,864.5,864.5,864.5,1390.2,1390.2,1390.2,864.5,864.5,364.8
20200123,364.8,364.8,364.8,364.8,364.8,364.8,364.8,864.5,864.5,864.5,1390.2,1390.2,1390.2,1390.2,1390.2,864.5,864.5,864.5,1390.2,1390.2,1390.2,864.5,864.5,364.8
