日期,1点,2点,3点,4点,5点,6点,7点,8点,9点,10点,11点,12点,13点,14点,15点,16点,17点,18点,19点,20点,21点,22点,23点,24点
20410101,0.002165,0.002165,0.002165,0.002165,0.002165,0.002165,0.002165,0.002165,0.002165,0.002165,0.002165,0.002165,0.002165,0.002165,0.002165,0.002165,0.002165,0.002165,0.002165,0.002165,0.002165,0.002165,0.002165,0.002165
20410102,0.002165,0.002165,0.002165,0.002165,0.002165,0.002165,0.002165,0.002165,0.002165,0.002165,0.002165,0.002165,0.002165,0.002165,0.002165,0.002165,0.002165,0.002165,0.002165,0.002165,0.002165,0.002165,0.002165,0.002165
20410103,0.002165,0.002165,0.002165,0.002165,0.002165,0.002165,0.002165,0.002165,0.002165,0.002165,0.002165,0.002165,0.002165,0.002165,0.002165,0.002165,0.002165,0.002165,0.002165,0.002165,0.002165,0.002165,0.002165,0.002165
20410104,0.002165,0.002165,0.002165,0.002165,0.002165,0.002165,0.002165,0.002165,0.002165,0.002165,0.002165,0.002165,0.002165,0.002165,0.002165,0.002165,0.002165,0.002165,0.002165,0.002165,0.002165,0.002165,0.002165,0.002165
20410105,0.002165,0.002165,0.002165,0.002165,0.002165,0.002165,0.002165,0.002165,0.002165,0.002165,0.002165,0.002165,0.002165,0.002165,0.002165,0.002165,0.002165,0.002165,0.002165,0.002165,0.002165,0.002165,0.002165,0.002165
20410106,0.002165,0.002165,0.002165,0.002165,0.002165,0.002165,0.002165,0.002165,0.002165,0.002165,0.002165,0.002165,0.002165,0.002165,0.002165,0.002165,0.002165,0.002165,0.002165,0.002165,0.002165,0.002165,0.002165,0.002165
20410107,0.002165,0.002165,0.002165,0.002165,0.002165,0.002165,0.002165,0.002165,0.002165,0.002165,0.002165,0.002165,0.002165,0.002165,0.002165,0.002165,0.002165,0.002165,0.002165,0.002165,0.002165,0.002165,0.002165,0.002165
20410108,0.002165,0.002165,0.002165,0.002165,0.002165,0.002165,0.002165,0.002165,0.002165,0.002165,0.002165,0.002165,0.002165,0.002165,0.002165,0.002165,0.002165,0.002165,0.002165,0.002165,0.002165,0.002165,0.002165,0.002165
20410109,0.002165,0.002165,0.002165,0.002165,0.002165,0.002165,0.002165,0.002165,0.002165,0.002165,0.002165,0.002165,0.002165,0.002165,0.002165,0.002165,0.002165,0.002165,0.002165,0.002165,0.002165,0.002165,0.002165,0.002165
20410110,0.002165,0.002165,0.002165,0.002165,0.002165,0.002165,0.002165,0.002165,0.002165,0.002165,0.002165,0.002165,0.002165,0.002165,0.002165,0.002165,0.002165,0.002165,0.002165,0.002165,0.002165,0.002165,0.002165,0.002165
